fecha,riesgo_pais
2023-11-13,2495.0
2023-11-14,2497.0
2023-11-15,2452.0
2023-11-16,2397.0
2023-11-17,2412.0
2023-11-20,2243.0
2023-11-21,2175.0
2023-11-22,2124.0
2023-11-23,2125.0
2023-11-24,1961.0
2023-11-27,2006.0
2023-11-28,2054.0
2023-11-29,2020.0
2023-11-30,1982.0
2023-12-01,1982.0
2023-12-04,1950.0
2023-12-05,1937.0
2023-12-06,1896.0
2023-12-07,1896.0
2023-12-08,1920.0
2023-12-11,1935.0
2023-12-12,1879.0
2023-12-13,1815.0
2023-12-14,1828.0
2023-12-15,1854.0
2023-12-18,1844.0
2023-12-19,1853.0
2023-12-20,1872.0
2023-12-21,1860.0
2023-12-22,1864.0
2023-12-25,1864.0
2023-12-26,1866.0
2023-12-27,1894.0
2023-12-28,1892.0
2023-12-29,1906.0
2024-01-01,1906.0
2024-01-02,1938.0
2024-01-03,1986.0
2024-01-04,2018.0
2024-01-05,1998.0
2024-01-08,2049.0
2024-01-09,2102.0
2024-01-10,1985.0
2024-01-11,1926.0
2024-01-12,1904.0
2024-01-15,1905.0
2024-01-16,1920.0
2024-01-17,1948.0
2024-01-18,1966.0
2024-01-19,1971.0
2024-01-22,1935.0
2024-01-23,1892.0
2024-01-24,1897.0
2024-01-25,1870.0
2024-01-26,1856.0
2024-01-29,1888.0
2024-01-30,1936.0
2024-01-31,1950.0
2024-02-01,1959.0
2024-02-02,1919.0
2024-02-05,1869.0
2024-02-06,1832.0
2024-02-07,1928.0
2024-02-08,1956.0
2024-02-09,1993.0
2024-02-12,1993.0
2024-02-13,2032.0
2024-02-14,1930.0
2024-02-15,1895.0
2024-02-16,1788.0
2024-02-19,1788.0
2024-02-20,1762.0
2024-02-21,1786.0
2024-02-22,1710.0
2024-02-23,1686.0
2024-02-26,1709.0
2024-02-27,1753.0
2024-02-28,1730.0
2024-02-29,1705.0
2024-03-01,1635.0
2024-03-04,1590.0
2024-03-05,1617.0
2024-03-06,1621.0
2024-03-07,1643.0
2024-03-08,1690.0
2024-03-11,1713.0
2024-03-12,1645.0
2024-03-13,1596.0
2024-03-14,1648.0
2024-03-15,1603.0
2024-03-18,1581.0
2024-03-19,1535.0
2024-03-20,1498.0
2024-03-21,1460.0
2024-03-22,1432.0
2024-03-25,1421.0
2024-03-26,1430.0
2024-03-27,1442.0
2024-03-28,1439.0
2024-03-29,1439.0
2024-04-01,1439.0
2024-04-02,1439.0
2024-04-03,1419.0
2024-04-04,1359.0
2024-04-05,1302.0
2024-04-08,1205.0
2024-04-09,1220.0
2024-04-10,1276.0
2024-04-11,1290.0
2024-04-12,1331.0
2024-04-15,1375.0
2024-04-16,1381.0
2024-04-17,1270.0
2024-04-18,1242.0
2024-04-19,1216.0
2024-04-22,1148.0
2024-04-23,1174.0
2024-04-24,1205.0
2024-04-25,1234.0
2024-04-26,1210.0
2024-04-29,1208.0
2024-04-30,1216.0
2024-05-01,1224.0
2024-05-02,1236.0
2024-05-03,1243.0
2024-05-06,1229.0
2024-05-07,1219.0
2024-05-08,1234.0
2024-05-09,1263.0
2024-05-10,1272.0
2024-05-13,1248.0
2024-05-14,1244.0
2024-05-15,1235.0
2024-05-16,1254.0
2024-05-17,1263.0
2024-05-20,1258.0
2024-05-21,1298.0
2024-05-22,1394.0
2024-05-23,1433.0
2024-05-24,1443.0
2024-05-27,1443.0
2024-05-28,1416.0
2024-05-29,1376.0
2024-05-30,1312.0
2024-05-31,1312.0
2024-06-03,1414.0
2024-06-04,1494.0
2024-06-05,1528.0
2024-06-06,1596.0
2024-06-07,1582.0
2024-06-10,1488.0
2024-06-11,1525.0
2024-06-12,1484.0
2024-06-13,1421.0
2024-06-14,1382.0
2024-06-17,1382.0
2024-06-18,1385.0
2024-06-19,1384.0
2024-06-20,1402.0
2024-06-21,1420.0
2024-06-24,1443.0
2024-06-25,1440.0
2024-06-26,1429.0
2024-06-27,1445.0
2024-06-28,1456.0
2024-07-01,1513.0
2024-07-02,1536.0
2024-07-03,1521.0
2024-07-04,1523.0
2024-07-05,1406.0
2024-07-08,1496.0
2024-07-09,1491.0
2024-07-10,1477.0
2024-07-11,1473.0
2024-07-12,1511.0
2024-07-15,1555.0
2024-07-16,1584.0
2024-07-17,1593.0
2024-07-18,1587.0
2024-07-19,1590.0
2024-07-22,1570.0
2024-07-23,1551.0
2024-07-24,1577.0
2024-07-25,1589.0
2024-07-26,1562.0
2024-07-29,1553.0
2024-07-30,1556.0
2024-07-31,1507.0
2024-08-01,1550.0
2024-08-02,1612.0
2024-08-05,1653.0
2024-08-06,1625.0
2024-08-07,1574.0
2024-08-08,1552.0
2024-08-09,1558.0
2024-08-12,1560.0
2024-08-13,1557.0
2024-08-14,1515.0
2024-08-15,1490.0
2024-08-16,1471.0
2024-08-19,1471.0
2024-08-20,1493.0
2024-08-21,1525.0
2024-08-22,1560.0
2024-08-23,1516.0
2024-08-26,1516.0
2024-08-27,1510.0
2024-08-28,1484.0
2024-08-29,1444.0
2024-08-30,1433.0
2024-09-02,1433.0
2024-09-03,1467.0
2024-09-04,1465.0
2024-09-05,1452.0
2024-09-06,1483.0
2024-09-09,1442.0
2024-09-10,1445.0
2024-09-11,1445.0
2024-09-12,1422.0
2024-09-13,1400.0
2024-09-16,1365.0
2024-09-17,1370.0
2024-09-18,1363.0
2024-09-19,1301.0
2024-09-20,1319.0
2024-09-23,1308.0
2024-09-24,1303.0
2024-09-25,1304.0
2024-09-26,1302.0
2024-09-27,1311.0
2024-09-30,1290.0
2024-10-01,1288.0
2024-10-02,1276.0
2024-10-03,1265.0
2024-10-04,1258.0
2024-10-07,1207.0
2024-10-08,1188.0
2024-10-09,1121.0
2024-10-10,1126.0
2024-10-11,1106.0
2024-10-14,1106.0
2024-10-15,1044.0
2024-10-16,1052.0
2024-10-17,1099.0
2024-10-18,1097.0
2024-10-21,1100.0
2024-10-22,1099.0
2024-10-23,1103.0
2024-10-24,1036.0
2024-10-25,967.0
2024-10-28,914.0
2024-10-29,933.0
2024-10-30,956.0
2024-10-31,984.0
2024-11-01,955.0
2024-11-04,955.0
2024-11-05,933.0
2024-11-06,870.0
2024-11-07,859.0
2024-11-08,850.0
2024-11-11,850.0
2024-11-12,819.0
2024-11-13,800.0
2024-11-14,772.0
2024-11-15,769.0
2024-11-18,769.0
2024-11-19,746.0
2024-11-20,720.0
2024-11-21,734.0
2024-11-22,745.0
2024-11-25,748.0
2024-11-26,751.0
2024-11-27,755.0
2024-11-28,752.0
2024-11-29,752.0
2024-12-02,749.0
2024-12-03,754.0
2024-12-04,751.0
2024-12-05,760.0
2024-12-06,769.0
2024-12-09,737.0
2024-12-10,735.0
2024-12-11,719.0
2024-12-12,715.0
2024-12-13,708.0
2024-12-16,677.0
2024-12-17,673.0
2024-12-18,658.0
2024-12-19,663.0
2024-12-20,671.0
2024-12-23,649.0
2024-12-24,649.0
2024-12-25,650.0
2024-12-26,631.0
2024-12-27,627.0
2024-12-30,635.0
2024-12-31,635.0
2025-01-01,635.0
2025-01-02,610.0
2025-01-03,610.0
2025-01-06,569.0
2025-01-07,561.0
2025-01-08,572.0
2025-01-09,560.0
2025-01-10,580.0
2025-01-13,589.0
2025-01-14,579.0
2025-01-15,597.0
2025-01-16,626.0
2025-01-17,644.0
2025-01-20,641.0
2025-01-21,638.0
2025-01-22,640.0
2025-01-23,646.0
2025-01-24,631.0
2025-01-27,642.0
2025-01-28,634.0
2025-01-29,611.0
2025-01-30,614.0
2025-01-31,618.0
2025-02-03,632.0
2025-02-04,640.0
2025-02-05,660.0
2025-02-06,659.0
2025-02-07,660.0
2025-02-10,677.0
2025-02-11,710.0
2025-02-12,673.0
2025-02-13,675.0
2025-02-14,675.0
2025-02-17,675.0
2025-02-18,696.0
2025-02-19,719.0
2025-02-20,719.0
2025-02-21,720.0
2025-02-24,730.0
2025-02-25,748.0
2025-02-26,749.0
2025-02-27,769.0
2025-02-28,780.0
2025-03-03,780.0
2025-03-04,780.0
2025-03-05,717.0
2025-03-06,714.0
2025-03-07,692.0
2025-03-10,723.0
2025-03-11,723.0
2025-03-12,718.0
2025-03-13,748.0
2025-03-14,737.0
2025-03-17,750.0
2025-03-18,787.0
2025-03-19,777.0
2025-03-20,762.0
2025-03-21,769.0
2025-03-25,761.0
2025-03-26,769.0
2025-03-27,759.0
2025-03-28,797.0
2025-03-31,816.0
2025-04-01,823.0
2025-04-02,823.0
2025-04-03,872.0
2025-04-04,925.0
2025-04-07,960.0
2025-04-08,978.0
2025-04-09,889.0
